{us:gov:federal:hc}RecordID,{us:gov:federal:hc}GivenName,{us:gov:federal:hc}LastName,{us:gov:federal:hc}MiddleName,{us:gov:federal:hc}PersonTypeCode,{us:gov:federal:hc}SSN,{us:gov:federal:hc}AgySubElementCode,{us:gov:federal:hc}AgySubdivision,{us:gov:federal:hc}AnnualAdjPay,{us:gov:federal:hc}DutyStationCode,{us:gov:federal:hc}FLSA,{us:gov:federal:hc}Grade,{us:gov:federal:hc}OfficialPayDate,{us:gov:federal:hc}PPEndDate,{us:gov:federal:hc}PPNum,{us:gov:federal:hc}PPStartDate,{us:gov:federal:hc}PayPlan,{us:gov:federal:hc}PayRate,{us:gov:federal:hc}SteporRate,{us:gov:federal:hc}AddrCity,{us:gov:federal:hc}AddrLine,{us:gov:federal:hc}AddrPostalCode,{us:gov:federal:hc}AddrState,{us:gov:federal:hc}AddrType,{us:gov:federal:hc}CountryCode,{us:gov:federal:hc}GrossPPAmt,{us:gov:federal:hc}GrossPayDedPPAmt,{us:gov:federal:hc}GrossPayDedYTDAmt,{us:gov:federal:hc}GrossYTDAmt,{us:gov:federal:hc}NetPayPPAmt,{us:gov:federal:hc}NetPayYTDAmt,{us:gov:federal:hc}W4StandardDeductionIndicator,{us:gov:federal:hc}TaxWagesYTDAmt,{us:gov:federal:hc}PayCode,{us:gov:federal:hc}PayPPAmt,{us:gov:federal:hc}PayPPWrkHrs,{us:gov:federal:hc}PayYTDAmt,{us:gov:federal:hc}PayDedCode,{us:gov:federal:hc}PayDedPPAmt,{us:gov:federal:hc}PayDedYTDAmt,{us:gov:federal:hc}GovContCode,{us:gov:federal:hc}GovContPPAmt,{us:gov:federal:hc}GovContYTDAmt,{us:gov:federal:hc}AbsenceCode,{us:gov:federal:hc}LVAccrPPHrs,{us:gov:federal:hc}LVDonaPPHrs,{us:gov:federal:hc}LVPPEndBalHrs,{us:gov:federal:hc}LVUsedPPHrs,{us:gov:federal:hc}LVUsedYTDHrs,{us:gov:federal:hc}LVUseorLoseHrs,{us:gov:federal:hc}LvAnnualAccRate,{us:gov:federal:hc}Remarks,{us:gov:federal:hc}Dependents,{us:gov:federal:hc}AddTaxWithheldAmt,{us:gov:federal:hc}TaxExempt
310001000,ADAM,ONE,NMN,02,310001000,GS28,Office of GSA IT,158000,100490003,N,00,2021-03-10,2021-02-27,202105,2021-01-31,AD,75,00,Wilmington,1319 Main St,19801,DE,001,US,6076,2802.36,5604.73,12153,3274.44,6548.87,Yes,12153,1149,6076.8,80,12153.6,269,188,376,41,50,100,876,0,0,0,0,0,0,0,         ,,,
310001001,ADAM,TWO,NMN,02,310001001,GS28,Office of GSA IT,160000,100490003,N,00,2021-03-10,2021-02-27,202105,2021-01-31,AD,76,00,Clarksville,4116 Main St,37040,TN,001,US,6153,2397.17,4794.34,12307,3756.43,7512.86,Yes,12307,1149,6153.6,80,12307.2,269,49,98,41,100,200,876,0,0,0,0,0,0,0,         ,2,,
310001002,ADAM,THREE,NMN,02,310001002,GS28,Office of GSA IT,165000,100490003,N,00,2021-03-10,2021-02-27,202105,2021-01-31,AD,79,00,Richmond,1978 Main St.,23221,VA,001,US,6346,2357.86,4715.72,12692,3988.54,7977.08,No,12692,1149,6346.4,80,12692.8,269,50,101,41,80,160,876,0,0,0,0,0,0,0,         ,1,,
310001003,ADAM,FOUR,NMN,02,310001003,GS28,Office of GSA IT,170000,100490003,N,00,2021-03-10,2021-02-27,202105,2021-01-31,AD,81,00,Montgomery,4979 Main St,36106,AL,001,US,6538,2909.69,5819.37,13076,3628.71,7257.43,Yes,13076,1149,6538.4,80,13076.8,269,52.31,104.62,41,198.08,396.16,876,0,0,0,0,0,0,0,         ,,,
310001004,ADAM,FIVE,NMN,02,310001004,GS28,Office of GSA IT,170000,100490003,N,00,2021-03-10,2021-02-27,202105,2021-01-31,AD,81,00,New Orleans,2392 Main St,70130,LA,001,US,6538,3067.05,6134.11,13076,3471.35,6942.69,Yes,13076,1149,6538.4,80,13076.8,269,52,104,41,261.54,523.08,876,0,0,0,0,0,0,0,         ,1,50,
310001005,ESTELLA,ONE,NMN,02,310001005,GS28,Office of GSA IT,135000,080600031,E,00,2021-03-10,2021-02-27,202105,2021-01-31,ES,64,00,Rockville,3831 Main St,20850,MD,001,US,5175,2305.22,4610.44,10350,2869.98,5739.96,Yes,10350,1149,5175.2,80,10350.4,269,227.71,455.42,41,202.63,405.26,876,4,0,8,0,0,0,8,         ,1,,
310001006,ESTELLA,TWO,NMN,02,310001006,GS28,Office of GSA IT,145000,080600031,E,00,2021-03-10,2021-02-27,202105,2021-01-31,ES,69,00,Ogden,3881 Main St,84404,UT,001,US,5558,2277.31,4554.61,11116,3281.09,6562.19,Yes,11116,1149,5558.4,80,11116.8,269,44,88,41,55,110,876,4,0,8,0,0,0,8,         ,,,
310001007,ESTELLA,THREE,NMN,02,310001007,GS28,Office of GSA IT,155000,080600031,E,00,2021-03-10,2021-02-27,202105,2021-01-31,ES,74,00,Hobbs,3995 Main St,88240,NM,001,US,5941,2393.53,4787.05,11883,3548.07,7096.15,Yes,11883,1149,5941.6,80,11883.2,269,261,522,41,219.13,438.26,876,4,0,8,0,0,0,8,         ,3,,
310001008,ESTELLA,FOUR,NMN,02,310001008,GS28,Office of GSA IT,165000,080600031,E,00,2021-03-10,2021-02-27,202105,2021-01-31,ES,79,00,Minneapolis,3543 Main St,55414,MN,001,US,6324,2309.38,4618.76,12649,4015.42,8030.84,Yes,12649,1149,6324.8,80,12649.6,269,196.07,392.14,41,50,100,876,4,0,8,0,0,0,8,         ,1,25,
310001009,ESTELLA,FIVE,NMN,02,310001009,GS28,Office of GSA IT,185000,080600031,E,00,2021-03-10,2021-02-27,202105,2021-01-31,ES,88,00,Virginia Beach,4834 Main St,23451,VA,001,US,7091,3111.14,6222.29,14182,3980.06,7960.11,Yes,14182,1149,7091.2,80,14182.4,269,56,113,41,281.37,562.74,876,4,0,8,0,0,0,8,         ,,,
310001010,EXAVIER,ONE,NMN,02,310001010,GS28,Office of GSA IT,199300,240030003,E,02,2021-03-10,2021-02-27,202105,2021-01-31,EX,95,00,Acosta,1176 Main St,15501,PA,001,US,7640,3106.06,6212.1,15280,4533.94,9067.9,No,15280,1149,7640,80,15280,269,336.16,672.32,41,180,360,876,0,0,0,0,0,0,0,         ,2,,
310001011,EXAVIER,TWO,NMN,02,310001011,GS28,Office of GSA IT,183300,240030003,E,03,2021-03-10,2021-02-27,202105,2021-01-31,EX,87,00,Annapolis,3968 Main St,21401,MD,001,US,7026,2838.44,5676.87,14052,4187.96,8375.93,Yes,14052,1149,7026.4,80,14052.8,269,56,112,41,200,400,876,0,0,0,0,0,0,0,         ,1,,
310001012,EXAVIER,THREE,NMN,02,310001012,GS28,Office of GSA IT,172500,510100013,E,04,2021-03-10,2021-02-27,202105,2021-01-31,EX,82,00,Arlington,3761 Main St,22203,VA,001,US,6612,2867.21,5734.42,13224,3744.79,7489.58,Yes,13224,1149,6612,80,13224,269,290,581,41,264.48,528.96,876,0,0,0,0,0,0,0,         ,3,,
310001013,EXAVIER,FOUR,NMN,02,310001013,GS28,Office of GSA IT,116999,426540101,N,14,2021-03-10,2021-02-27,202105,2021-01-31,GS,56,01,Millville,3127 Main St,19967,DE,001,US,4484,1738.66,3477.31,8969,2746.14,5492.29,Yes,8969,1190,884,0,8969.6,269,197,394,41,179.39,358.78,876,4,0,8,0,0,0,4,         ,4,,4
310001014,EXAVIER,FIVE,NMN,02,310001014,GS28,Office of GSA IT,161700,540170081,E,05,2021-03-10,2021-02-27,202105,2021-01-31,EX,77,00,South Charleston,1384 Main St,25309,WV,001,US,6198,2803.07,5606.15,12396,3395.33,6790.65,Yes,12396,1149,6198.4,80,12396.8,269,49.59,99.18,41,247.94,495.88,876,0,0,0,0,0,0,0,         ,,,
