{us:gov:federal:hc}RecordID,{us:gov:federal:hc}GivenName,{us:gov:federal:hc}LastName,{us:gov:federal:hc}MiddleName,{us:gov:federal:hc}PersonTypeCode,{us:gov:federal:hc}SSN,{us:gov:federal:hc}AgySubElementCode,{us:gov:federal:hc}AgySubdivision,{us:gov:federal:hc}AnnualAdjPay,{us:gov:federal:hc}DutyStationCode,{us:gov:federal:hc}FLSA,{us:gov:federal:hc}Grade,{us:gov:federal:hc}OfficialPayDate,{us:gov:federal:hc}PPEndDate,{us:gov:federal:hc}PPNum,{us:gov:federal:hc}PPStartDate,{us:gov:federal:hc}PayPlan,{us:gov:federal:hc}PayRate,{us:gov:federal:hc}SteporRate,{us:gov:federal:hc}AddrCity,{us:gov:federal:hc}AddrLine,{us:gov:federal:hc}AddrPostalCode,{us:gov:federal:hc}AddrState,{us:gov:federal:hc}AddrType,{us:gov:federal:hc}CountryCode,{us:gov:federal:hc}GrossPPAmt,{us:gov:federal:hc}GrossPayDedPPAmt,{us:gov:federal:hc}GrossPayDedYTDAmt,{us:gov:federal:hc}GrossYTDAmt,{us:gov:federal:hc}NetPayPPAmt,{us:gov:federal:hc}NetPayYTDAmt,{us:gov:federal:hc}W4StandardDeductionIndicator,{us:gov:federal:hc}TaxWagesYTDAmt,{us:gov:federal:hc}PayCode,{us:gov:federal:hc}PayPPAmt,{us:gov:federal:hc}PayPPWrkHrs,{us:gov:federal:hc}PayYTDAmt,{us:gov:federal:hc}PayDedCode,{us:gov:federal:hc}PayDedPPAmt,{us:gov:federal:hc}PayDedYTDAmt,{us:gov:federal:hc}GovContCode,{us:gov:federal:hc}GovContPPAmt,{us:gov:federal:hc}GovContYTDAmt,{us:gov:federal:hc}AbsenceCode,{us:gov:federal:hc}LVAccrPPHrs,{us:gov:federal:hc}LVDonaPPHrs,{us:gov:federal:hc}LVPPEndBalHrs,{us:gov:federal:hc}LVUsedPPHrs,{us:gov:federal:hc}LVUsedYTDHrs,{us:gov:federal:hc}LVUseorLoseHrs,{us:gov:federal:hc}LvAnnualAccRate,{us:gov:federal:hc}Remarks,{us:gov:federal:hc}Dependents,{us:gov:federal:hc}AddTaxWithheldAmt,{us:gov:federal:hc}TaxExempt
310001000,ADAM,ONE,NMN,02,310001000,GS28,Office of GSA IT,158000,100490003,N,00,2021-04-07,2021-03-27,202107,2021-01-31,AD,75,00,Wilmington,1319 Main St,19801,DE,001,US,6076,2998.14,11405.24,24307,3078.66,12901.96,Yes,24307,1149,6076.8,80,24307.2,269,188,753,41,50,200,876,0,0,0,0,0,0,0,         ,,,
310001002,ADAM,THREE,NMN,02,310001002,GS28,Office of GSA IT,165000,100490003,N,00,2021-04-07,2021-03-27,202107,2021-01-31,AD,79,00,Richmond,1978 Main St.,23221,VA,001,US,6346,2357.87,9431.45,25385,3988.53,15954.15,No,25385,1149,6346.4,80,25385.6,269,50,203,41,80,320,876,0,0,0,0,0,0,0,         ,1,,
310001003,ADAM,FOUR,NMN,02,310001003,GS28,Office of GSA IT,170000,100490003,N,00,2021-04-07,2021-03-27,202107,2021-01-31,AD,81,00,Montgomery,4979 Main St,36106,AL,001,US,6538,3009.69,11738.75,26153,3528.71,14414.85,Yes,26153,1149,6538.4,80,26153.6,368,100,100,41,198.08,792.32,876,0,0,0,0,0,0,0,         ,,,
310001004,ADAM,FIVE,NMN,02,310001004,GS28,Office of GSA IT,170000,100490003,N,00,2021-04-07,2021-03-27,202107,2021-01-31,AD,81,00,New Orleans,2392 Main St,70130,LA,001,US,6538,3067.05,12268.22,26153,3471.35,13885.38,Yes,26153,1149,6538.4,80,26153.6,269,52,209,41,261.54,1046.16,876,0,0,0,0,0,0,0,         ,1,50,
310001005,ESTELLA,ONE,NMN,02,310001005,GS28,Office of GSA IT,135000,080600031,E,00,2021-04-07,2021-03-27,202107,2021-01-31,ES,64,00,Rockville,3831 Main St,20850,MD,001,US,5175,2555.22,9470.88,20700,2619.98,11229.92,Yes,20700,1149,5175.2,80,20700.8,269,227.71,910.84,41,202.63,810.52,876,4,0,16,0,0,0,8,         ,1,,
310001006,ESTELLA,TWO,NMN,02,310001006,GS28,Office of GSA IT,145000,080600031,E,00,2021-04-07,2021-03-27,202107,2021-01-31,ES,69,00,Ogden,3881 Main St,84404,UT,001,US,5558,2277.31,9109.23,22233,3281.09,13124.37,Yes,22233,1149,5558.4,80,22233.6,269,44,177,41,55,220,876,4,0,16,0,0,0,8,         ,,,
310001007,ESTELLA,THREE,NMN,02,310001007,GS28,Office of GSA IT,155000,080600031,E,00,2021-04-07,2021-03-27,202107,2021-01-31,ES,74,00,Hobbs,3995 Main St,88240,NM,001,US,5941,2643.52,9824.08,23766,3298.08,13942.32,Yes,23766,1149,5941.6,80,23766.4,384,250,250,41,219.13,876.52,876,4,0,16,0,0,0,8,         ,3,,
310001008,ESTELLA,FOUR,NMN,02,310001008,GS28,Office of GSA IT,165000,080600031,E,00,2021-04-07,2021-03-27,202107,2021-01-31,ES,79,00,Minneapolis,3543 Main St,55414,MN,001,US,6324,2309.39,9237.53,25299,4015.41,16061.67,Yes,25299,1149,6324.8,80,25299.2,269,196.07,784.28,41,50,200,876,4,0,16,0,0,0,8,         ,1,25,
310001009,ESTELLA,FIVE,NMN,02,310001009,GS28,Office of GSA IT,185000,080600031,E,00,2021-04-07,2021-03-27,202107,2021-01-31,ES,88,00,Virginia Beach,4834 Main St,23451,VA,001,US,7091,3111.13,12444.57,28364,3980.07,15920.23,Yes,28364,1149,7091.2,80,28364.8,269,56,226,41,281.37,1125.48,876,4,0,16,0,0,0,8,         ,,,
310001010,EXAVIER,ONE,NMN,02,310001010,GS28,Office of GSA IT,199300,240030003,E,02,2021-04-07,2021-03-27,202107,2021-01-31,EX,95,00,Acosta,1176 Main St,15501,PA,001,US,7640,3106.04,12424.18,30560,4533.96,18135.82,No,30560,1149,7640,80,30560,269,336.16,1344.64,41,180,720,876,0,0,0,0,0,0,0,         ,2,,
