{us:gov:federal:hc}RecordID,{us:gov:federal:hc}GivenName,{us:gov:federal:hc}LastName,{us:gov:federal:hc}MiddleName,{us:gov:federal:hc}PersonTypeCode,{us:gov:federal:hc}SSN,{us:gov:federal:hc}AgySubElementCode,{us:gov:federal:hc}AgySubdivision,{us:gov:federal:hc}AnnualAdjPay,{us:gov:federal:hc}DutyStationCode,{us:gov:federal:hc}FLSA,{us:gov:federal:hc}Grade,{us:gov:federal:hc}OfficialPayDate,{us:gov:federal:hc}PPEndDate,{us:gov:federal:hc}PPNum,{us:gov:federal:hc}PPStartDate,{us:gov:federal:hc}PayPlan,{us:gov:federal:hc}PayRate,{us:gov:federal:hc}SteporRate,{us:gov:federal:hc}AddrCity,{us:gov:federal:hc}AddrLine,{us:gov:federal:hc}AddrPostalCode,{us:gov:federal:hc}AddrState,{us:gov:federal:hc}AddrType,{us:gov:federal:hc}CountryCode,{us:gov:federal:hc}GrossPPAmt,{us:gov:federal:hc}GrossPayDedPPAmt,{us:gov:federal:hc}GrossPayDedYTDAmt,{us:gov:federal:hc}GrossYTDAmt,{us:gov:federal:hc}NetPayPPAmt,{us:gov:federal:hc}NetPayYTDAmt,{us:gov:federal:hc}W4StandardDeductionIndicator,{us:gov:federal:hc}TaxWagesYTDAmt,{us:gov:federal:hc}PayCode,{us:gov:federal:hc}PayPPAmt,{us:gov:federal:hc}PayPPWrkHrs,{us:gov:federal:hc}PayYTDAmt,{us:gov:federal:hc}PayDedCode,{us:gov:federal:hc}PayDedPPAmt,{us:gov:federal:hc}PayDedYTDAmt,{us:gov:federal:hc}GovContCode,{us:gov:federal:hc}GovContPPAmt,{us:gov:federal:hc}GovContYTDAmt,{us:gov:federal:hc}AbsenceCode,{us:gov:federal:hc}LVAccrPPHrs,{us:gov:federal:hc}LVDonaPPHrs,{us:gov:federal:hc}LVPPEndBalHrs,{us:gov:federal:hc}LVUsedPPHrs,{us:gov:federal:hc}LVUsedYTDHrs,{us:gov:federal:hc}LVUseorLoseHrs,{us:gov:federal:hc}LvAnnualAccRate,{us:gov:federal:hc}Remarks,{us:gov:federal:hc}Dependents,{us:gov:federal:hc}AddTaxWithheldAmt,{us:gov:federal:hc}TaxExempt
310001000,ADAM,ONE,NMN,02,310001000,GS28,Office of GSA IT,158000,100490003,N,00,2021-02-24,2021-02-13,202104,2021-01-31,AD,75,00,Wilmington,1319 Main St,19801,DE,001,US,6076,2802.37,2802.37,6076,3274.43,3274.43,Yes,6076,1149,6076.8,80,6076.8,269,188,188,41,50,50,876,0,0,0,0,0,0,0,         ,,,
310001001,ADAM,TWO,NMN,02,310001001,GS28,Office of GSA IT,160000,100490003,N,00,2021-02-24,2021-02-13,202104,2021-01-31,AD,76,00,Clarksville,4116 Main St,37040,TN,001,US,6153,2397.17,2397.17,6153,3756.43,3756.43,Yes,6153,1149,6153.6,80,6153.6,269,49,49,41,100,100,876,0,0,0,0,0,0,0,         ,2,,
310001002,ADAM,THREE,NMN,02,310001002,GS28,Office of GSA IT,165000,100490003,N,00,2021-02-24,2021-02-13,202104,2021-01-31,AD,79,00,Richmond,1978 Main St.,23221,VA,001,US,6346,2357.86,2357.86,6346,3988.54,3988.54,No,6346,1149,6346.4,80,6346.4,269,50,50,41,80,80,876,0,0,0,0,0,0,0,         ,1,,
310001003,ADAM,FOUR,NMN,02,310001003,GS28,Office of GSA IT,170000,100490003,N,00,2021-02-24,2021-02-13,202104,2021-01-31,AD,81,00,Montgomery,4979 Main St,36106,AL,001,US,6538,2909.68,2909.68,6538,3628.72,3628.72,Yes,6538,1149,6538.4,80,6538.4,269,52.31,52.31,41,198.08,198.08,876,0,0,0,0,0,0,0,         ,,,
310001004,ADAM,FIVE,NMN,02,310001004,GS28,Office of GSA IT,170000,100490003,N,00,2021-02-24,2021-02-13,202104,2021-01-31,AD,81,00,New Orleans,2392 Main St,70130,LA,001,US,6538,3067.06,3067.06,6538,3471.34,3471.34,Yes,6538,1149,6538.4,80,6538.4,269,52,52,41,261.54,261.54,876,0,0,0,0,0,0,0,         ,1,50,
310001005,ESTELLA,ONE,NMN,02,310001005,GS28,Office of GSA IT,135000,080600031,E,00,2021-02-24,2021-02-13,202104,2021-01-31,ES,64,00,Rockville,3831 Main St,20850,MD,001,US,5175,2305.22,2305.22,5175,2869.98,2869.98,Yes,5175,1149,5175.2,80,5175.2,269,227.71,227.71,41,202.63,202.63,876,4,0,4,0,0,0,8,         ,1,,
310001006,ESTELLA,TWO,NMN,02,310001006,GS28,Office of GSA IT,145000,080600031,E,00,2021-02-24,2021-02-13,202104,2021-01-31,ES,69,00,Ogden,3881 Main St,84404,UT,001,US,5558,2277.3,2277.3,5558,3281.1,3281.1,Yes,5558,1149,5558.4,80,5558.4,269,44,44,41,55,55,876,4,0,4,0,0,0,8,         ,,,
310001007,ESTELLA,THREE,NMN,02,310001007,GS28,Office of GSA IT,155000,080600031,E,00,2021-02-24,2021-02-13,202104,2021-01-31,ES,74,00,Hobbs,3995 Main St,88240,NM,001,US,5941,2393.52,2393.52,5941,3548.08,3548.08,Yes,5941,1149,5941.6,80,5941.6,269,261,261,41,219.13,219.13,876,4,0,4,0,0,0,8,         ,3,,
310001008,ESTELLA,FOUR,NMN,02,310001008,GS28,Office of GSA IT,165000,080600031,E,00,2021-02-24,2021-02-13,202104,2021-01-31,ES,79,00,Minneapolis,3543 Main St,55414,MN,001,US,6324,2309.38,2309.38,6324,4015.42,4015.42,Yes,6324,1149,6324.8,80,6324.8,269,196.07,196.07,41,50,50,876,4,0,4,0,0,0,8,         ,1,25,
310001009,ESTELLA,FIVE,NMN,02,310001009,GS28,Office of GSA IT,185000,080600031,E,00,2021-02-24,2021-02-13,202104,2021-01-31,ES,88,00,Virginia Beach,4834 Main St,23451,VA,001,US,7091,3111.15,3111.15,7091,3980.05,3980.05,Yes,7091,1149,7091.2,80,7091.2,269,56,56,41,281.37,281.37,876,4,0,4,0,0,0,8,         ,,,
